Board VX
 Quad/Chan :        q00c0              q00c1              q00c2              q00c3              q01c0              q01c1              q01c2              q01c3      
Link :       00                 01                 02                 03                 04                 05                 06                 07          
Frame 0198 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0199 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0200 : 1v0003fb5cfa77fffa 1v000300001000fe75 1v0003040004000400 1v0003000004000000 1v0003000000000000 1v000301970bad0000 1v00031000000001e0 1v0003000100010001
Frame 0201 : 1v0003016afdb402a1 1v000304001400fd44 1v0003000004000400 1v0003040000000000 1v0003000000000400 1v0003070e07490000 1v00030c0008000b04 1v0003000100010001
Frame 0202 : 1v00030332004706e7 1v00030400180004e3 1v0003000000000000 1v0003040000000000 1v0003040004000400 1v0003104b09d00400 1v0003040014000ac8 1v0003000100010001
Frame 0203 : 1v00030552fe7308b9 1v000304001800067f 1v0003040004000400 1v0003000004000400 1v0003000000000000 1v0003044007980000 1v0003180000000bb8 1v0003000100010001
Frame 0204 : 1v0003fd6cfeb40617 1v000304001400059a 1v0003040004000400 1v0003000000000400 1v0003000000000000 1v0003047608a20000 1v0003140000000168 1v0003000100010001
Frame 0205 : 1v00030166017b0718 1v00030400180005fe 1v0003040004000400 1v0003000004000400 1v0003000000000000 1v00030034078a0000 1v0003180000000078 1v0003000100010001
Frame 0206 : 1v00030f1a066c0fc9 1v0003000010000860 1v0003000004000400 1v0003040000000000 1v0003000000000400 1v00030768059e0000 1v0003080008002cc4 1v0003000000000000
Frame 0207 : 1v000316ec021516fb 1v0003000010000633 1v0003040004000400 1v0003000000000400 1v0003000000000000 1v0003011a00cf0000 1v00031000000010a4 1v0003000100010001
Frame 0208 : 1v000314ed01de1501 1v0003040010000525 1v0003040004000400 1v0003000000000000 1v0003000000000000 1v0003011a00340000 1v0003100000001068 1v0003000000000000
Frame 0209 : 1v000307b1fcb60849 1v000304001800005f 1v0003040004000400 1v0003000004000400 1v0003000000000000 1v0003010a09c60000 1v000318000000030c 1v0003000100010001
Frame 0210 : 1v000314bf047b14e9 1v0003040018000810 1v0003040004000400 1v0003000004000400 1v0003000000000000 1v00030627086d0000 1v00031800000015cc 1v0003000100010001
Frame 0211 : 1v00030050028d0806 1v0003040014000765 1v0003000000000000 1v0003040000000000 1v0003040000000400 1v000314200a700400 1v0003040010000294 1v0003000100010001
Frame 0212 : 1v00030ad0fb970d0f 1v00030400100009af 1v0003040004000400 1v0003000000000000 1v0003000000000000 1v0003030604bf0000 1v0003100000001194 1v0003000000000000
Frame 0213 : 1v0003139d037713a7 1v000304001000011d 1v0003040004000400 1v0003000000000000 1v0003000000000000 1v0003064c026f0000 1v0003100000001590 1v0003000000000000
Frame 0214 : 1v00030cd908980ce5 1v000304001000fb00 1v0003040000000400 1v0003000000000400 1v0003000000000000 1v000305d805810000 1v00031000000022ec 1v0003000000000000
Frame 0215 : 1v000302bfff9204c5 1v0003040018000113 1v0003000004000400 1v0003040000000000 1v0003000004000400 1v000307680b510000 1v00030c000c000e88 1v0003000100010001
Frame 0216 : 1v000315d805da15ed 1v000304001000064b 1v0003000004000000 1v0003040000000000 1v0003000000000400 1v000306d20a340000 1v00030800080034bc 1v0003000000000000
Frame 0217 : 1v000313d6043813e4 1v00030000100002d3 1v0003000004000400 1v0003040000000000 1v0003000004000000 1v0003082c08680000 1v00030800080036d8 1v0003000000000000
Frame 0218 : 1v0003132605b31361 1v00030400140007dd 1v0003040004000400 1v0003000000000400 1v0003000000000000 1v000305ff05420000 1v0003140000001cd4 1v0003000000000000
Frame 0219 : 1v0003139d037713a7 1v000304001000011d 1v0003040004000400 1v0003000000000000 1v0003000000000000 1v0003064c026f0000 1v0003100000001590 1v0003000000000000
Frame 0220 : 1v00030bd405710cbe 1v0003040010000665 1v0003000000000400 1v0003040000000000 1v0003000000000400 1v000306ac04760000 1v0003080008000708 1v0003000000000000
Frame 0221 : 1v0003182803061841 1v0003040014000959 1v0003040000000400 1v0003000004000400 1v0003000000000000 1v0003066203730000 1v0003140000000348 1v0003000000000000
Frame 0222 : 1v00030504fd950649 1v0003040014000115 1v0003040004000400 1v0003000000000400 1v0003000000000000 1v0003057e03e70000 1v0003140000000fb4 1v0003000100010001
Frame 0223 : 1v0003032d0024070b 1v0003000018000521 1v0003000004000400 1v0003040000000000 1v0003040004000400 1v0003084c0ba80000 1v00030800100026e8 1v0003000100010001
Frame 0224 : 1v0003181e02c41832 1v0003040010000864 1v0003000000000400 1v0003000000000000 1v0003040000000400 1v00030ae604220000 1v0003080008002a6c 1v0003000000000000
Frame 0225 : 1v0003035affc40575 1v00030400180001e1 1v0003000004000400 1v0003040000000000 1v0003000004000400 1v00030792011f0000 1v00030c000c00102c 1v0003000100010001
Frame 0226 : 1v00031807053d180e 1v0003040010000482 1v0003040004000000 1v0003000000000400 1v0003000000000000 1v0003064b039c0000 1v0003100000001068 1v0003000000000000
Frame 0227 : 1v000303c400ca064e 1v0003000014000348 1v0003000000000400 1v0003000000000000 1v0003040004000400 1v00030e5c0b990400 1v0003040010001284 1v0003000100010001
Frame 0228 : 1v0003144302a61455 1v00030400180003f0 1v0003000000000400 1v0003000000000000 1v0003040004000400 1v00030dfe0a290400 1v0003080010000a8c 1v0003000100010001
Frame 0229 : 1v00030314044706ce 1v00030000100004ce 1v0003000004000400 1v0003040000000000 1v0003000000000400 1v000306cc02f80000 1v00030800080002d0 1v0003000000000000
Frame 0230 : 1v000305effcee060d 1v000300001000f7f8 1v0003000004000400 1v0003000000000000 1v0003000004000400 1v000306f706120000 1v0003080008002418 1v0003000000000000
Frame 0231 : 1v00031497035614b8 1v00030000100006f5 1v0003000004000400 1v0003040000000000 1v0003000000000400 1v000306e60a350000 1v000308000800396c 1v0003000000000000
Frame 0240 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0241 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0242 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0243 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0244 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0245 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0246 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0247 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0248 : 1v0003066101cc086f 1v00030400180004c9 1v0003040004000400 1v0003000004000400 1v0003000000000000 1v0003037e09d00000 1v0003180000000384 1v0003000100010001
Frame 0249 : 1v00030334f92507e6 1v000304001000066b 1v0003040004000400 1v0003000000000000 1v0003000000000000 1v0003006009f90000 1v0003100000000960 1v0003000100010001
Frame 0250 : 1v000301befd8d04ee 1v0003040018000288 1v0003000000000000 1v0003040000000000 1v0003040004000400 1v000312dd07240400 1v0003040014001b30 1v0003000100010001
Frame 0251 : 1v0003fbf9fdcf0251 1v0003040014000167 1v0003040004000400 1v0003000000000400 1v0003000000000000 1v0003043c09c80000 1v0003140000002a6c 1v0003000100010001
Frame 0252 : 1v000311cf04f111dc 1v000304001400007d 1v0003040004000400 1v0003000000000400 1v0003000000000000 1v0003036603b60000 1v0003140000000e4c 1v0003000000000000
Frame 0253 : 1v000317380396173b 1v00030400100000b9 1v0003040000000400 1v0003000000000400 1v0003000000000000 1v0003036a04d20000 1v0003100000000ec4 1v0003000000000000
Frame 0254 : 1v000315c4070515c8 1v000304001000ff66 1v0003040000000400 1v0003000004000000 1v0003000000000000 1v0003036a057b0000 1v0003100000000e88 1v0003000000000000
Frame 0255 : 1v00030f1208b212ef 1v0003040010001104 1v0003040004000000 1v0003000004000000 1v0003000000000000 1v0003029d04150000 1v0003100000001b6c 1v0003000000000000
Frame 0256 : 1v0003056e006107e5 1v00030400140004c9 1v0003000000000400 1v0003000000000000 1v0003040004000400 1v00030e7d09b60000 1v000308000c000dd4 1v0003000100010001
Frame 0257 : 1v000304d202c90812 1v00030400140005ba 1v0003040004000400 1v0003000000000400 1v0003000000000000 1v0003061e0b850000 1v00031400000025bc 1v0003000100010001
Frame 0258 : 1v000318a4062d18b4 1v00030400100007de 1v0003000004000400 1v0003040000000000 1v0003000000000000 1v000309a602770000 1v00030c0004000ff0 1v0003000000000000
Frame 0259 : 1v000306b901e50a9c 1v00030400180008b4 1v0003000000000400 1v0003040000000000 1v0003040004000400 1v0003095c0b330000 1v00030800100025bc 1v0003000100010001
Frame 0260 : 1v00030be907e30c4a 1v00030400100002ad 1v0003040000000400 1v0003000004000000 1v0003000000000000 1v000301f4013d0000 1v00031000000012c0 1v0003000000000000
Frame 0261 : 1v000307dd01b20c16 1v0003040010000a60 1v0003000000000400 1v0003000000000000 1v0003040000000400 1v00030dec06a50000 1v00030800080008e8 1v0003000000000000
Frame 0288 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0289 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0290 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0291 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0292 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0293 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0294 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0295 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0296 : 1v000306d2fd6c09b1 1v0003040010000703 1v0003000004000400 1v0003000000000400 1v0003000000000000 1v0003008609f10000 1v0003100000000d20 1v0003000100010001
Frame 0297 : 1v0003015000f206a5 1v000304001800056c 1v0003040004000400 1v0003000004000400 1v0003000000000000 1v000305e605f10000 1v0003180000000f78 1v0003000100010001
Frame 0298 : 1v00030abffbc30b9d 1v0003040014000514 1v0003040004000400 1v0003000000000400 1v0003000000000000 1v0003033a0b230000 1v00031400000005dc 1v0003000000000000
Frame 0299 : 1v000318de056118ec 1v00030400100007ba 1v0003000000000400 1v0003000000000000 1v0003040000000400 1v00030d1603a80000 1v0003080008000258 1v0003000000000000
Frame 0336 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0337 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0338 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0339 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0340 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0341 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0342 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0343 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0344 : 1v00030464025a075a 1v00030400180004c2 1v0003040004000400 1v0003000004000400 1v0003000000000000 1v000301a70b0f0000 1v0003180000001af4 1v0003000100010001
Frame 0345 : 1v0003fc3c00c60703 1v00030400180006bc 1v0003000004000400 1v0003040000000000 1v0003000004000400 1v000308570b850000 1v00030c000c001d88 1v0003000100010001
Frame 0346 : 1v000311f902fe121f 1v00030400100004db 1v0003000004000400 1v0003040000000000 1v0003000000000000 1v0003070203c70000 1v00030c00040012fc 1v0003000000000000
Frame 0347 : 1v0003157d03c015ae 1v000304001000096b 1v0003000004000400 1v0003000000000000 1v0003000000000400 1v0003068504d60000 1v00030c0004000960 1v0003000000000000
Frame 0348 : 1v0003130d02af134c 1v00030000100007fc 1v0003040004000400 1v0003000000000400 1v0003000000000000 1v00030613072b0000 1v0003100000002ae4 1v0003000000000000
Frame 0349 : 1v0003f84e022ffc9d 1v000304001400faf3 1v0003000000000000 1v0003040000000000 1v0003040004000000 1v0003143409850400 1v00030400100000f0 1v0003000100010001
Frame 0350 : 1v000308fd03500a06 1v000304001000041e 1v0003040000000400 1v0003000000000400 1v0003000000000000 1v0003038607550000 1v0003100000002238 1v0003000000000000
Frame 0351 : 1v00030e2fff000f20 1v00030400180008e0 1v0003000004000400 1v0003040000000000 1v0003000004000400 1v0003083a074e0000 1v00030c000c0008e8 1v0003000100010001
Frame 0384 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0385 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0386 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
Frame 0387 : 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000 0v0000000000000000
