   0 CSIM: 1 : 0.0091966 	 XGBOOST: 1 : 0.00036657  	 Conifer: 0.0058654 : 0.0091966 	 FPGA: 1 : 0.0091966 	 Target: 0 
  28 CSIM: 1 : 0.0011336 	 XGBOOST: 1 : 2.0763e-05  	 Conifer: 0.00073218 : 0.0011336 	 FPGA: 1 : 0.0011336 	 Target: 0 
  29 CSIM: 1 : 00.98561 	 XGBOOST: 1 : 00.99689  	 Conifer: 00.97998 : 00.98561 	 FPGA: 1 : 00.98561 	 Target: 0 
  30 CSIM: 1 : 0000.413 	 XGBOOST: 1 : 00.14417  	 Conifer: 00.28617 : 0000.413 	 FPGA: 1 : 0000.413 	 Target: 0 
  31 CSIM: 1 : 0.033086 	 XGBOOST: 1 : 0.00075399  	 Conifer: 0.021615 : 0.033086 	 FPGA: 1 : 0.033086 	 Target: 0 
  32 CSIM: 1 : 00.97649 	 XGBOOST: 1 : 00.99786  	 Conifer: 00.96666 : 00.97649 	 FPGA: 1 : 00.97649 	 Target: 1 
  33 CSIM: 1 : 000.9659 	 XGBOOST: 1 : 00.99677  	 Conifer: 00.95328 : 000.9659 	 FPGA: 1 : 000.9659 	 Target: 1 
  34 CSIM: 1 : 00.99181 	 XGBOOST: 1 : 00.99889  	 Conifer: 00.98849 : 00.99181 	 FPGA: 1 : 00.99181 	 Target: 1 
  35 CSIM: 1 : 0.015425 	 XGBOOST: 1 : 0.00088784  	 Conifer: 0.010408 : 0.015425 	 FPGA: 1 : 0.015425 	 Target: 0 
  36 CSIM: 1 : 0.00021995 	 XGBOOST: 1 : 6.7725e-06  	 Conifer: 0.00014768 : 0.00021995 	 FPGA: 1 : 0.00021995 	 Target: 0 
  37 CSIM: 1 : 00.45133 	 XGBOOST: 1 : 0.0022517  	 Conifer: 00.34511 : 00.45133 	 FPGA: 1 : 00.45133 	 Target: 0 
  38 CSIM: 1 : 00.94376 	 XGBOOST: 1 : 00.93064  	 Conifer: 00.92304 : 00.94376 	 FPGA: 1 : 00.94376 	 Target: 1 
  39 CSIM: 1 : 000.9931 	 XGBOOST: 1 : 00.99882  	 Conifer: 00.99022 : 000.9931 	 FPGA: 1 : 000.9931 	 Target: 1 
  40 CSIM: 1 : 000.9944 	 XGBOOST: 1 : 00.99923  	 Conifer: 00.99188 : 000.9944 	 FPGA: 1 : 000.9944 	 Target: 1 
  41 CSIM: 1 : 00.97951 	 XGBOOST: 1 : 00.99876  	 Conifer: 00.97113 : 00.97951 	 FPGA: 1 : 00.97951 	 Target: 1 
  42 CSIM: 1 : 00.99546 	 XGBOOST: 1 : 00.99908  	 Conifer: 00.99366 : 00.99546 	 FPGA: 1 : 00.99546 	 Target: 1 
  43 CSIM: 1 : 000.9958 	 XGBOOST: 1 : 00.99932  	 Conifer: 000.9939 : 000.9958 	 FPGA: 1 : 000.9958 	 Target: 1 
  44 CSIM: 1 : 0.010902 	 XGBOOST: 1 : 0.00027795  	 Conifer: 0.0069576 : 0.010902 	 FPGA: 1 : 0.010902 	 Target: 0 
  45 CSIM: 1 : 00.15103 	 XGBOOST: 1 : 0.0064025  	 Conifer: 00.10159 : 00.15103 	 FPGA: 1 : 00.15103 	 Target: 1 
  46 CSIM: 1 : 00.13478 	 XGBOOST: 1 : 0.0095816  	 Conifer: 0.090093 : 00.13478 	 FPGA: 1 : 00.13478 	 Target: 0 
  47 CSIM: 1 : 00.97558 	 XGBOOST: 1 : 00.99822  	 Conifer: 00.96641 : 00.97558 	 FPGA: 1 : 00.97558 	 Target: 1 
  48 CSIM: 1 : 0.052231 	 XGBOOST: 1 : 0.040728  	 Conifer: 0.035145 : 0.052231 	 FPGA: 1 : 0.052231 	 Target: 1 
  49 CSIM: 1 : 00.96006 	 XGBOOST: 1 : 00.98179  	 Conifer: 00.91244 : 00.96006 	 FPGA: 1 : 00.96006 	 Target: 1 
  50 CSIM: 1 : 00.12252 	 XGBOOST: 1 : 0.029367  	 Conifer: 0.085099 : 00.12252 	 FPGA: 1 : 00.12252 	 Target: 0 
  51 CSIM: 1 : 0.082697 	 XGBOOST: 1 : 0.0055986  	 Conifer: 0.055823 : 0.082697 	 FPGA: 1 : 0.082697 	 Target: 0 
  52 CSIM: 1 : 0.0021157 	 XGBOOST: 1 : 0.00011817  	 Conifer: 0.0014325 : 0.0021157 	 FPGA: 1 : 0.0021157 	 Target: 0 
  53 CSIM: 1 : 00.99351 	 XGBOOST: 1 : 00.99927  	 Conifer: 00.99094 : 00.99351 	 FPGA: 1 : 00.99351 	 Target: 1 
  54 CSIM: 1 : 0.0059572 	 XGBOOST: 1 : 7.9228e-05  	 Conifer: 0.0037948 : 0.0059572 	 FPGA: 1 : 0.0059572 	 Target: 0 
  55 CSIM: 1 : 0.0066929 	 XGBOOST: 1 : 0.00023689  	 Conifer: 0.0043653 : 0.0066929 	 FPGA: 1 : 0.0066929 	 Target: 0 
  56 CSIM: 1 : 0.019719 	 XGBOOST: 1 : 00.01187  	 Conifer: 00.01292 : 0.019719 	 FPGA: 1 : 0.019719 	 Target: 0 
  57 CSIM: 1 : 0.082697 	 XGBOOST: 1 : 0.0055986  	 Conifer: 0.055823 : 0.082697 	 FPGA: 1 : 0.082697 	 Target: 0 
  58 CSIM: 1 : 0.0091966 	 XGBOOST: 1 : 0.00077359  	 Conifer: 0.0059111 : 0.0091966 	 FPGA: 1 : 0.0091966 	 Target: 0 
  59 CSIM: 1 : 0.0045739 	 XGBOOST: 1 : 0.00061233  	 Conifer: 0.0019723 : 0.0045739 	 FPGA: 1 : 0.0045739 	 Target: 0 
  60 CSIM: 1 : 00.98943 	 XGBOOST: 1 : 00.99848  	 Conifer: 00.98481 : 00.98943 	 FPGA: 1 : 00.98943 	 Target: 1 
  61 CSIM: 1 : 00.99351 	 XGBOOST: 1 : 00.99923  	 Conifer: 00.99073 : 00.99351 	 FPGA: 1 : 00.99351 	 Target: 1 
  62 CSIM: 1 : 0.0041663 	 XGBOOST: 1 : 0.00011765  	 Conifer: 0.0028672 : 0.0041663 	 FPGA: 1 : 0.0041663 	 Target: 0 
  63 CSIM: 1 : 00.99073 	 XGBOOST: 1 : 00.99903  	 Conifer: 00.98698 : 00.99073 	 FPGA: 1 : 00.99073 	 Target: 1 
  64 CSIM: 1 : 0.029312 	 XGBOOST: 1 : 0.00090104  	 Conifer: 0.018833 : 0.029312 	 FPGA: 1 : 0.029312 	 Target: 0 
  65 CSIM: 1 : 00.98959 	 XGBOOST: 1 : 000.9974  	 Conifer: 00.98458 : 00.98959 	 FPGA: 1 : 00.98959 	 Target: 1 
  66 CSIM: 1 : 00.28777 	 XGBOOST: 1 : 00.06919  	 Conifer: 00.20434 : 00.28777 	 FPGA: 1 : 00.28777 	 Target: 1 
  67 CSIM: 1 : 00.20181 	 XGBOOST: 1 : 0.078652  	 Conifer: 00.14319 : 00.20181 	 FPGA: 1 : 00.20181 	 Target: 0 
  68 CSIM: 1 : 000.5851 	 XGBOOST: 1 : 00.50204  	 Conifer: 00.49414 : 000.5851 	 FPGA: 1 : 000.5851 	 Target: 0 
  69 CSIM: 1 : 0.0085113 	 XGBOOST: 1 : 0.00039518  	 Conifer: 0.0055549 : 0.0085113 	 FPGA: 1 : 0.0085113 	 Target: 0 
  70 CSIM: 1 : 00.97283 	 XGBOOST: 1 : 00.99809  	 Conifer: 00.96153 : 00.97283 	 FPGA: 1 : 00.97283 	 Target: 1 
  71 CSIM: 1 : 00.73259 	 XGBOOST: 1 : 00.72842  	 Conifer: 00.66367 : 00.73259 	 FPGA: 1 : 00.73259 	 Target: 1 
  72 CSIM: 1 : 00.99771 	 XGBOOST: 1 : 00.99978  	 Conifer: 00.99665 : 00.99771 	 FPGA: 1 : 00.99771 	 Target: 1 
  73 CSIM: 1 : 00.99577 	 XGBOOST: 1 : 00.99919  	 Conifer: 0000.994 : 00.99577 	 FPGA: 1 : 00.99577 	 Target: 1 
  74 CSIM: 1 : 000.0538 	 XGBOOST: 1 : 0.027431  	 Conifer: 0.036769 : 000.0538 	 FPGA: 1 : 000.0538 	 Target: 0 
  75 CSIM: 1 : 0.0059111 	 XGBOOST: 1 : 0.00029336  	 Conifer: 0.0040073 : 0.0059111 	 FPGA: 1 : 0.0059111 	 Target: 0 
  76 CSIM: 1 : 0.003403 	 XGBOOST: 1 : 0.00011154  	 Conifer: 0.0022518 : 0.003403 	 FPGA: 1 : 0.003403 	 Target: 0 
  77 CSIM: 1 : 0.0015609 	 XGBOOST: 1 : 2.8492e-05  	 Conifer: 0.0010242 : 0.0015609 	 FPGA: 1 : 0.0015609 	 Target: 0 
  78 CSIM: 1 : 00.98804 	 XGBOOST: 1 : 00.99717  	 Conifer: 00.98256 : 00.98804 	 FPGA: 1 : 00.98804 	 Target: 1 
  79 CSIM: 1 : 00.95431 	 XGBOOST: 1 : 00.99131  	 Conifer: 00.93487 : 00.95431 	 FPGA: 1 : 00.95431 	 Target: 1 
  80 CSIM: 1 : 0.043691 	 XGBOOST: 1 : 0.00055447  	 Conifer: 0.027796 : 0.043691 	 FPGA: 1 : 0.043691 	 Target: 0 
  81 CSIM: 1 : 00.89181 	 XGBOOST: 1 : 000.9554  	 Conifer: 00.85391 : 00.89181 	 FPGA: 1 : 00.89181 	 Target: 1 
  82 CSIM: 1 : 0.0061451 	 XGBOOST: 1 : 0.00041457  	 Conifer: 0.0032225 : 0.0061451 	 FPGA: 1 : 0.0061451 	 Target: 0 
  83 CSIM: 1 : 00.10017 	 XGBOOST: 1 : 0.005115  	 Conifer: 0.070049 : 00.10017 	 FPGA: 1 : 00.10017 	 Target: 0 
  84 CSIM: 1 : 000.5794 	 XGBOOST: 1 : 00.19242  	 Conifer: 00.49024 : 000.5794 	 FPGA: 1 : 000.5794 	 Target: 1 
  85 CSIM: 1 : 00.99341 	 XGBOOST: 1 : 00.99944  	 Conifer: 00.99051 : 00.99341 	 FPGA: 1 : 00.99341 	 Target: 1 
  86 CSIM: 1 : 00.83973 	 XGBOOST: 1 : 00.90195  	 Conifer: 00.78923 : 00.83973 	 FPGA: 1 : 00.83973 	 Target: 0 
  87 CSIM: 1 : 0.011597 	 XGBOOST: 1 : 0.00028022  	 Conifer: 0.0074606 : 0.011597 	 FPGA: 1 : 0.011597 	 Target: 0 
  88 CSIM: 1 : 00.99059 	 XGBOOST: 1 : 00.99852  	 Conifer: 00.98657 : 00.99059 	 FPGA: 1 : 00.99059 	 Target: 1 
  89 CSIM: 1 : 00.99646 	 XGBOOST: 1 : 00.99945  	 Conifer: 00.99498 : 00.99646 	 FPGA: 1 : 00.99646 	 Target: 1 
  90 CSIM: 1 : 00.14805 	 XGBOOST: 1 : 0.0047159  	 Conifer: 00.10159 : 00.14805 	 FPGA: 1 : 00.14805 	 Target: 0 
  91 CSIM: 1 : 0.033844 	 XGBOOST: 1 : 0.0011555  	 Conifer: 0.022457 : 0.033844 	 FPGA: 1 : 0.033844 	 Target: 0 
  92 CSIM: 1 : 0.043691 	 XGBOOST: 1 : 0.0029102  	 Conifer: 0.028436 : 0.043691 	 FPGA: 1 : 0.043691 	 Target: 0 
  93 CSIM: 1 : 00.99778 	 XGBOOST: 1 : 000.9991  	 Conifer: 000.9967 : 00.99778 	 FPGA: 1 : 00.99778 	 Target: 1 
  94 CSIM: 1 : 0.018689 	 XGBOOST: 1 : 0.0020219  	 Conifer: 0.013428 : 0.018689 	 FPGA: 1 : 0.018689 	 Target: 0 
  95 CSIM: 1 : 00.18359 	 XGBOOST: 1 : 00.28536  	 Conifer: 00.13478 : 00.18359 	 FPGA: 1 : 00.18359 	 Target: 1 
  96 CSIM: 1 : 000.9466 	 XGBOOST: 1 : 00.99291  	 Conifer: 00.92523 : 000.9466 	 FPGA: 1 : 000.9466 	 Target: 1 
  97 CSIM: 1 : 00.98409 	 XGBOOST: 1 : 00.99589  	 Conifer: 00.97754 : 00.98409 	 FPGA: 1 : 00.98409 	 Target: 1 
  98 CSIM: 1 : 00.75491 	 XGBOOST: 1 : 00.61735  	 Conifer: 00.68426 : 00.75491 	 FPGA: 1 : 00.75491 	 Target: 0 
  99 CSIM: 1 : 0.030909 	 XGBOOST: 1 : 0.00091706  	 Conifer: 0.021781 : 0.030909 	 FPGA: 1 : 0.030909 	 Target: 0 
 100 CSIM: 1 : 0.0040386 	 XGBOOST: 1 : 0.00012073  	 Conifer: 0.0026317 : 0.0040386 	 FPGA: 1 : 0.0040386 	 Target: 0 
 101 CSIM: 1 : 00.98013 	 XGBOOST: 1 : 00.94537  	 Conifer: 00.97024 : 00.98013 	 FPGA: 1 : 00.98013 	 Target: 1 
 102 CSIM: 1 : 0.069038 	 XGBOOST: 1 : 0.0057376  	 Conifer: 0.036769 : 0.069038 	 FPGA: 1 : 0.069038 	 Target: 0 
 103 CSIM: 1 : 00.99149 	 XGBOOST: 1 : 00.99913  	 Conifer: 00.98831 : 00.99149 	 FPGA: 1 : 00.99149 	 Target: 1 
 104 CSIM: 1 : 00.90797 	 XGBOOST: 1 : 00.97558  	 Conifer: 00.87493 : 00.90797 	 FPGA: 1 : 00.90797 	 Target: 1 
 105 CSIM: 1 : 0.0053433 	 XGBOOST: 1 : 0.0011531  	 Conifer: 0.0035657 : 0.0053433 	 FPGA: 1 : 0.0053433 	 Target: 0 
 106 CSIM: 1 : 00.39234 	 XGBOOST: 1 : 00.18223  	 Conifer: 00.31069 : 00.39234 	 FPGA: 1 : 00.39234 	 Target: 0 
 107 CSIM: 1 : 00.94499 	 XGBOOST: 1 : 00.98056  	 Conifer: 00.92304 : 00.94499 	 FPGA: 1 : 00.94499 	 Target: 1 
 108 CSIM: 1 : 000.9967 	 XGBOOST: 1 : 00.99965  	 Conifer: 00.99543 : 000.9967 	 FPGA: 1 : 000.9967 	 Target: 1 
 109 CSIM: 1 : 000.1561 	 XGBOOST: 1 : 00.17763  	 Conifer: 00.10895 : 000.1561 	 FPGA: 1 : 000.1561 	 Target: 1 
 110 CSIM: 1 : 000.9958 	 XGBOOST: 1 : 00.99932  	 Conifer: 00.99376 : 000.9958 	 FPGA: 1 : 000.9958 	 Target: 1 
 111 CSIM: 1 : 00.95976 	 XGBOOST: 1 : 00.98619  	 Conifer: 00.94376 : 00.95976 	 FPGA: 1 : 00.95976 	 Target: 1 
 112 CSIM: 1 : 00.91429 	 XGBOOST: 1 : 0000.949  	 Conifer: 00.87997 : 00.91429 	 FPGA: 1 : 00.91429 	 Target: 1 
 113 CSIM: 1 : 00.13478 	 XGBOOST: 1 : 0.0094409  	 Conifer: 0.094678 : 00.13478 	 FPGA: 1 : 00.13478 	 Target: 0 
 114 CSIM: 1 : 0.042404 	 XGBOOST: 1 : 0.0018371  	 Conifer: 0.035678 : 0.042404 	 FPGA: 1 : 0.042404 	 Target: 0 
 115 CSIM: 1 : 00.61138 	 XGBOOST: 1 : 00.14095  	 Conifer: 00.50976 : 00.61138 	 FPGA: 1 : 00.61138 	 Target: 0 
 116 CSIM: 1 : 0.014172 	 XGBOOST: 1 : 0.0020051  	 Conifer: 0.0094126 : 0.014172 	 FPGA: 1 : 0.014172 	 Target: 0 
 117 CSIM: 1 : 0.0085113 	 XGBOOST: 1 : 0.00062518  	 Conifer: 0.0056859 : 0.0085113 	 FPGA: 1 : 0.0085113 	 Target: 0 
 118 CSIM: 1 : 00.61138 	 XGBOOST: 1 : 00.14095  	 Conifer: 00.50976 : 00.61138 	 FPGA: 1 : 00.61138 	 Target: 0 
 119 CSIM: 1 : 0.0024534 	 XGBOOST: 1 : 0.00015091  	 Conifer: 0.0016744 : 0.0024534 	 FPGA: 1 : 0.0024534 	 Target: 0 
 120 CSIM: 1 : 00.95362 	 XGBOOST: 1 : 000.9799  	 Conifer: 00.93343 : 00.95362 	 FPGA: 1 : 00.95362 	 Target: 1 
 121 CSIM: 1 : 00.99709 	 XGBOOST: 1 : 00.99966  	 Conifer: 00.99605 : 00.99709 	 FPGA: 1 : 00.99709 	 Target: 1 
 122 CSIM: 1 : 00.30404 	 XGBOOST: 1 : 000.1324  	 Conifer: 00.22678 : 00.30404 	 FPGA: 1 : 00.30404 	 Target: 1 
 123 CSIM: 1 : 0.0034564 	 XGBOOST: 1 : 0.00013356  	 Conifer: 0.0029122 : 0.0034564 	 FPGA: 1 : 0.0034564 	 Target: 0 
 124 CSIM: 1 : 00.99242 	 XGBOOST: 1 : 00.99928  	 Conifer: 00.98935 : 00.99242 	 FPGA: 1 : 00.99242 	 Target: 1 
 125 CSIM: 1 : 0.0084456 	 XGBOOST: 1 : 0.00056509  	 Conifer: 0.0055982 : 0.0084456 	 FPGA: 1 : 0.0084456 	 Target: 0 
 126 CSIM: 1 : 00.99037 	 XGBOOST: 1 : 00.99634  	 Conifer: 00.98594 : 00.99037 	 FPGA: 1 : 00.99037 	 Target: 1 
 127 CSIM: 1 : 0.0081247 	 XGBOOST: 1 : 0.00019244  	 Conifer: 0.0053019 : 0.0081247 	 FPGA: 1 : 0.0081247 	 Target: 0 
 128 CSIM: 1 : 0.072637 	 XGBOOST: 1 : 0.0045595  	 Conifer: 0.049589 : 0.072637 	 FPGA: 1 : 0.072637 	 Target: 0 
 129 CSIM: 1 : 00.99051 	 XGBOOST: 1 : 00.99806  	 Conifer: 00.98688 : 00.99051 	 FPGA: 1 : 00.99051 	 Target: 1 
 130 CSIM: 1 : 00.99553 	 XGBOOST: 1 : 00.99947  	 Conifer: 00.99385 : 00.99553 	 FPGA: 1 : 00.99553 	 Target: 1 
 131 CSIM: 1 : 00.11676 	 XGBOOST: 1 : 0.010071  	 Conifer: 0.082697 : 00.11676 	 FPGA: 1 : 00.11676 	 Target: 0 
 132 CSIM: 1 : 00.97539 	 XGBOOST: 1 : 00.99638  	 Conifer: 00.96512 : 00.97539 	 FPGA: 1 : 00.97539 	 Target: 1 
 133 CSIM: 1 : 0.028653 	 XGBOOST: 1 : 0.00074091  	 Conifer: 0.018689 : 0.028653 	 FPGA: 1 : 0.028653 	 Target: 0 
 134 CSIM: 1 : 00.14223 	 XGBOOST: 1 : 0.052213  	 Conifer: 00.10302 : 00.14223 	 FPGA: 1 : 00.14223 	 Target: 0 
 135 CSIM: 1 : 00.99632 	 XGBOOST: 1 : 00.99958  	 Conifer: 00.99482 : 00.99632 	 FPGA: 1 : 00.99632 	 Target: 1 
 136 CSIM: 1 : 00.99623 	 XGBOOST: 1 : 00.99926  	 Conifer: 00.99453 : 00.99623 	 FPGA: 1 : 00.99623 	 Target: 1 
 137 CSIM: 1 : 00.94738 	 XGBOOST: 1 : 00.99209  	 Conifer: 000.9263 : 00.94738 	 FPGA: 1 : 00.94738 	 Target: 0 
 138 CSIM: 1 : 0.010408 	 XGBOOST: 1 : 0.003091  	 Conifer: 0.0077556 : 0.010408 	 FPGA: 1 : 0.010408 	 Target: 0 
 139 CSIM: 1 : 00.99115 	 XGBOOST: 1 : 000.9971  	 Conifer: 00.98776 : 00.99115 	 FPGA: 1 : 00.99115 	 Target: 1 
 140 CSIM: 1 : 0.041462 	 XGBOOST: 1 : 0.0010887  	 Conifer: 0.026557 : 0.041462 	 FPGA: 1 : 0.041462 	 Target: 0 
 141 CSIM: 1 : 00.99764 	 XGBOOST: 1 : 00.99959  	 Conifer: 000.9967 : 00.99764 	 FPGA: 1 : 00.99764 	 Target: 1 
 142 CSIM: 1 : 00.98516 	 XGBOOST: 1 : 00.97566  	 Conifer: 00.97822 : 00.98516 	 FPGA: 1 : 00.98516 	 Target: 1 
 143 CSIM: 1 : 0.035948 	 XGBOOST: 1 : 0.0010887  	 Conifer: 0.023153 : 0.035948 	 FPGA: 1 : 0.035948 	 Target: 0 
 144 CSIM: 1 : 00.99445 	 XGBOOST: 1 : 00.99939  	 Conifer: 00.99212 : 00.99445 	 FPGA: 1 : 00.99445 	 Target: 1 
 145 CSIM: 1 : 00.12679 	 XGBOOST: 1 : 0.0077679  	 Conifer: 0.087564 : 00.12679 	 FPGA: 1 : 00.12679 	 Target: 0 
 146 CSIM: 1 : 0.013849 	 XGBOOST: 1 : 0.00039136  	 Conifer: 0.0090553 : 0.013849 	 FPGA: 1 : 0.013849 	 Target: 0 
 147 CSIM: 1 : 00.88953 	 XGBOOST: 1 : 00.93472  	 Conifer: 00.84594 : 00.88953 	 FPGA: 1 : 00.88953 	 Target: 1 
 148 CSIM: 1 : 00.99735 	 XGBOOST: 1 : 00.99978  	 Conifer: 00.99626 : 00.99735 	 FPGA: 1 : 00.99735 	 Target: 1 
 149 CSIM: 1 : 0.056652 	 XGBOOST: 1 : 0.0024232  	 Conifer: 0.037609 : 0.056652 	 FPGA: 1 : 0.056652 	 Target: 0 
 150 CSIM: 1 : 000.9926 	 XGBOOST: 1 : 00.99918  	 Conifer: 00.98951 : 000.9926 	 FPGA: 1 : 000.9926 	 Target: 1 
 151 CSIM: 1 : 0.032101 	 XGBOOST: 1 : 0.0014753  	 Conifer: 0.021287 : 0.032101 	 FPGA: 1 : 0.032101 	 Target: 0 
 152 CSIM: 1 : 00.93675 	 XGBOOST: 1 : 00.96908  	 Conifer: 00.91055 : 00.93675 	 FPGA: 1 : 00.93675 	 Target: 0 
 153 CSIM: 1 : 00.95976 	 XGBOOST: 1 : 00.97164  	 Conifer: 00.94251 : 00.95976 	 FPGA: 1 : 00.95976 	 Target: 1 
 154 CSIM: 1 : 0.022977 	 XGBOOST: 1 : 0.0018381  	 Conifer: 0.015544 : 0.022977 	 FPGA: 1 : 0.022977 	 Target: 0 
 155 CSIM: 1 : 00.98615 	 XGBOOST: 1 : 00.99805  	 Conifer: 00.98028 : 00.98615 	 FPGA: 1 : 00.98615 	 Target: 1 
 156 CSIM: 1 : 00.97199 	 XGBOOST: 1 : 00.99792  	 Conifer: 00.95823 : 00.97199 	 FPGA: 1 : 00.97199 	 Target: 1 
 157 CSIM: 1 : 00.99629 	 XGBOOST: 1 : 00.99935  	 Conifer: 00.99453 : 00.99629 	 FPGA: 1 : 00.99629 	 Target: 1 
 158 CSIM: 1 : 00.99288 	 XGBOOST: 1 : 00.99855  	 Conifer: 00.98999 : 00.99288 	 FPGA: 1 : 00.99288 	 Target: 1 
 159 CSIM: 1 : 00.99059 	 XGBOOST: 1 : 00.99891  	 Conifer: 00.98073 : 00.99059 	 FPGA: 1 : 00.99059 	 Target: 1 
 160 CSIM: 1 : 0.017177 	 XGBOOST: 1 : 0.00071327  	 Conifer: 0.011072 : 0.017177 	 FPGA: 1 : 0.017177 	 Target: 0 
 161 CSIM: 1 : 0.054199 	 XGBOOST: 1 : 0.0091159  	 Conifer: 0.036769 : 0.054199 	 FPGA: 1 : 0.054199 	 Target: 0 
 162 CSIM: 1 : 00.98959 	 XGBOOST: 1 : 00.99915  	 Conifer: 00.98481 : 00.98959 	 FPGA: 1 : 00.98959 	 Target: 1 
 163 CSIM: 1 : 00.78399 	 XGBOOST: 1 : 00.65046  	 Conifer: 00.72331 : 00.78399 	 FPGA: 1 : 00.78399 	 Target: 0 
 164 CSIM: 1 : 0.025371 	 XGBOOST: 1 : 0.0022659  	 Conifer: 0.017177 : 0.025371 	 FPGA: 1 : 0.025371 	 Target: 0 
